CaseMasterID,CrimeNo,CaseCategoryName,CaseStatusName,PoliceStationUnitID,DistrictName,StateName,InvestigatingOfficerID,RegistrationDate,InfoReceivedPSDate,CrimeHeadName,CrimeSubHeadName,CrimeCategoryGroup,GravityOffenceName,BriefFacts,IncidentUnitID,IncidentDistrictName,latitude,longitude,LocationTypeArchetype,IsHotspotUnitFlag,AccusedHomeUnitDistance,IncidentFromDate,IncidentToDate,IncidentHourOfDay,IncidentDayOfWeek,IsFestivalOrEventWindow,ReportingDelayHours,CaseAgeDays,PrimaryAccusedID,PrimaryAccusedAgeBand,PrimaryAccusedGender,NumberOfAccused,CoAccusedIDList,IsRepeatAccusedFlag,ArrestStatus,ArrestDelayDays,PrimaryVictimAgeBand,PrimaryVictimGender,NumberOfVictims,VictimAccusedRelationship,IsRepeatVictimFlag,VictimPoliceFlag,NumberOfEvidenceItems,EvidenceTypesList,NumberOfVehiclesInvolved,ActsInvokedList,SectionsInvokedList,NumberOfSectionsInvoked,ChargesheetOutcome,ChargesheetFilingDelayDays,InvestigatingOfficerRank,CourtID,CourtName,InvestigationDurationDays,OfficerActiveCaseLoad,OfficerHistoricalFalseCaseRate,HiddenCriminalProfileID,HiddenGangID,HiddenClusterID,HiddenMOGroup,HiddenBridgeNodeFlag,HiddenEscalationCurveLabel,IsRepeatOffenderGroundTruth,RiskLabel,AnomalyLabel
1,400250153202200001,PAR,Pending Trial,153,Shivamogga,Karnataka,458,2022-02-09,2022-02-04 15:36:48,Economic Offences,Chit Fund Fraud,Cyber-Financial,Non-Heinous,"The suspects promised double returns on small savings within thirty days, targeting street vendors and low-income families before shutting operations overnight. The incident was reported from a general/public place at 06:00 hours on Friday. A single individual executed the crime. Forensic search and examination revealed Bank Transaction Statement and Digital Ledger at the scene.",153,Shivamogga,13.921666,75.604266,General/Public Place,True,local,2022-02-04 06:48:48,2022-02-04 12:28:48,6,Friday,False,8.8,1617,127.0,51-65,M,1,127,True,,,36-50,M,2,Stranger,False,True,2,Bank Transaction Statement;Digital Ledger,0,,,,Not Yet Disposed,,Sub-Inspector,,,1617,14,0.2142857142857142,CP00095,,CP00095,39_General/Public Place_1,,,True,Medium,Normal
2,100270169202400001,FIR,Disposed - Convicted,169,Udupi,Karnataka,506,2024-04-09,2024-04-04 10:00:19,Crimes Against Senior Citizens,Fraud Against Senior Citizens,Violent,Heinous,The event transpired at a general/public place around 18:00 hours on Wednesday. The suspects promised to help the senior citizen withdraw their PF money and ran away with their credentials. Key evidence collected includes CCTV Footage and Medical Examination Report.,169,Udupi,13.387435,74.713884,General/Public Place,True,Unknown/One-Time,2024-04-03 18:04:19,2024-04-03 22:05:19,18,Wednesday,True,15.933333333333334,827,,,,0,,False,,,51-65,M,1,Stranger,False,False,2,CCTV Footage;Medical Examination Report,0,,,,Charge-Sheeted,,Inspector,,,827,17,0.0588235294117647,,,SOLO_2,60_General/Public Place_3,,,,High,Normal
3,400110077202200001,PAR,Disposed - Convicted,77,Dakshina Kannada,Karnataka,230,2022-11-19,2022-11-17 05:08:32,Traffic and Motor Vehicle Offences,Traffic Rule Violations,Public-Order,Non-Heinous,A lone suspect was involved in carrying out this offense. The driver was caught driving an overloaded passenger vehicle with people hanging on the footboards. The incident took place in a transit-bus-stop at 18:00 hours on Wednesday. Investigators recovered CCTV Footage from the location.,77,Dakshina Kannada,12.868914,74.850745,Transit-Bus-Stop,True,Unknown/One-Time,2022-11-16 18:30:32,2022-11-16 19:52:32,18,Wednesday,False,10.633333333333333,1334,1084.0,65+,F,1,1084,False,,,,,0,,False,False,1,CCTV Footage,2,,,,Charge-Sheeted,,Circle Inspector,,,1334,19,0.0,,,SOLO_3,58_Transit-Bus-Stop_3,,,False,Medium,Normal
4,100310193202300001,FIR,Closed - Undetected,193,Vijayanagara,Karnataka,579,2023-10-22,2023-10-21 20:58:21,Crimes Against State,Unlawful Activities,Public-Order,Non-Heinous,"The suspect acted as a local courier, transporting illegal funding and secure communication devices to active members of an outlawed group. Evidence seized during the initial probe includes Digital Communication Record, Seized Document and Surveillance Report. The offense occurred near a general/public place around 17:00 hours on Saturday.",193,Vijayanagara,15.243288,76.43758,General/Public Place,False,Unknown/One-Time,2023-10-21 17:41:21,2023-10-21 18:19:21,17,Saturday,False,3.283333333333333,997,,,,0,,False,,,,,0,,False,False,3,Digital Communication Record;Seized Document;Surveillance Report,0,,,,Undetected,,Assistant Sub-Inspector,,,997,4,0.0,,,SOLO_4,51_General/Public Place_2,,,,Low,Normal
5,300100066202500001,UDR,Pending Trial,66,Chitradurga,Karnataka,196,2025-08-05,2025-07-31 02:52:41,Traffic and Motor Vehicle Offences,Hit and Run,Public-Order,Heinous,"Police later collected CCTV Footage, Mechanical Inspection Report and Vehicle Damage Report as part of the case file. An unidentified truck hit a cyclist from behind and sped away, leaving the cyclist severely injured. The incident was reported from a transit-bus-stop at 17:00 hours on Wednesday. A single individual executed the crime.",66,Chitradurga,14.228462,76.437082,Transit-Bus-Stop,False,Unknown/One-Time,2025-07-30 17:24:41,2025-07-31 00:14:41,17,Wednesday,False,9.466666666666669,344,4625.0,26-35,M,1,4625,False,,,36-50,F,1,Stranger,False,False,3,CCTV Footage;Mechanical Inspection Report;Vehicle Damage Report,1,,,,Not Yet Disposed,,Assistant Sub-Inspector,,,344,18,0.2222222222222222,,,SOLO_5,55_Transit-Bus-Stop_2,,,False,Medium,Normal
6,100110073202200001,FIR,Closed - False Case,73,Dakshina Kannada,Karnataka,219,2022-12-05,2022-12-05 00:38:32,Crimes Against Women,Sexual Harassment,Violent,Non-Heinous,"The suspect repeatedly followed the victim to her college and made offensive gestures. The event transpired at a general/public place around 09:00 hours on Saturday. The crime was committed by a group of 2 co-offenders. Forensic search and examination revealed CCTV Footage, Call Detail Record, Clothing Sample, DNA Swab and Medical Examination Report at the scene.",73,Dakshina Kannada,12.896923,74.903003,General/Public Place,False,Unknown/One-Time,2022-12-03 09:06:32,2022-12-03 15:45:32,9,Saturday,False,39.53333333333333,1318,1152.0,65+,M,2,1152;1153,True,,,26-35,F,1,Known,False,False,5,CCTV Footage;Call Detail Record;Clothing Sample;DNA Swab;Medical Examination Report,0,,,,False Case,,Sub-Inspector,,,1318,5,0.2,CP00056,,CP00056,18_General/Public Place_1,,,True,Medium,Normal
7,100050032202600001,FIR,Under Investigation,32,Bengaluru Urban,Karnataka,94,2026-09-02,2026-08-28 21:53:28,Crimes Against Women,Acid Attack,Violent,Non-Heinous,The incident took place in a general/public place at 14:00 hours on Friday. The accused splashed a chemical substance on the victim's arm during a physical confrontation. A lone suspect was involved in carrying out this offense.,32,Bengaluru Urban,12.930527,77.64539,General/Public Place,False,Unknown/One-Time,2026-08-28 14:15:28,2026-08-28 19:32:28,14,Friday,True,7.633333333333334,-49,6085.0,26-35,M,1,6085,False,,,36-50,M,1,Stranger,False,False,2,Clothing Sample;Medical Examination Report,0,,,,Not Yet Disposed,,Inspector,,,-49,15,0.2,,,SOLO_7,23_General/Public Place_2,,,False,Low,Normal
8,100110074202400001,FIR,Closed - Undetected,74,Dakshina Kannada,Karnataka,222,2024-08-31,2024-08-24 04:50:55,Traffic and Motor Vehicle Offences,Motor Vehicle Theft,Public-Order,Heinous,"Investigation indicates the involvement of a single perpetrator. The offender observed the victim leaving the motorcycle unattended outside the gate, before unlocking it with a duplicate master key and escaping. The offense occurred near a market around 00:00 hours on Saturday. Investigators recovered Breath Analyzer Report, CCTV Footage and Mechanical Inspection Report from the location.",74,Dakshina Kannada,12.865715,74.863406,Market,False,Unknown/One-Time,2024-08-24 00:08:55,2024-08-24 02:21:55,0,Saturday,False,4.7,683,3470.0,36-50,M,1,3470,False,,,51-65,F,1,Stranger,False,False,3,Breath Analyzer Report;CCTV Footage;Mechanical Inspection Report,1,,,,Undetected,,Sub-Inspector,,,683,5,0.0,,,SOLO_8,57_Market_0,,,False,Medium,Normal
9,100030018202600001,FIR,Under Investigation,18,Belagavi,Karnataka,52,2026-02-08,2026-02-01 11:17:01,Crimes Against Women,Dowry Death,Violent,Non-Heinous,"The victim committed suicide after being continuously harassed and tortured by her husband and in-laws for additional dowry. Evidence seized during the initial probe includes Call Detail Record, DNA Swab and Medical Examination Report. The incident was reported from a residential at 01:00 hours on Sunday.",18,Belagavi,15.893935,74.533455,Residential,True,Unknown/One-Time,2026-02-01 01:59:01,2026-02-01 05:36:01,1,Sunday,False,9.3,157,5311.0,51-65,M,1,5311,False,,,18-25,F,1,Known,False,False,3,Call Detail Record;DNA Swab;Medical Examination Report,0,,,,Not Yet Disposed,,Sub-Inspector,,,157,22,0.1363636363636363,,,SOLO_9,19_Residential_0,,,False,Low,Normal
10,100250156202500001,FIR,Closed - False Case,156,Shivamogga,Karnataka,468,2025-02-23,2025-02-15 15:23:05,Crimes Against Women,Rape,Violent,Non-Heinous,Police later collected CCTV Footage and DNA Swab as part of the case file. The suspect forced himself upon the victim at her workplace and threatened her with termination if she spoke. The event transpired at a general/public place around 22:00 hours on Friday. The crime was committed by a group of 2 co-offenders.,156,Shivamogga,13.91865,75.58587,General/Public Place,False,Unknown/One-Time,2025-02-14 22:57:05,2025-02-14 23:11:05,22,Friday,False,16.433333333333334,507,4050.0,51-65,M,2,4050;4051,False,,,Minor (<18),F,1,Known,False,False,2,CCTV Footage;DNA Swab,0,,,,False Case,,Inspector,,,507,7,0.2857142857142857,,,SOLO_10,17_General/Public Place_3,,,False,Low,Normal
