CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,400250153202200001,202200001,2022-02-09,1839,153,3,2,6,39,5,83,2022-02-04 06:48:48,2022-02-04 12:28:48,2022-02-04 15:36:48,13.921666,75.604266,"The suspects promised double returns on small savings within thirty days, targeting street vendors and low-income families before shutting operations overnight. The incident was reported from a general/public place at 06:00 hours on Friday. A single individual executed the crime. Forensic search and examination revealed Bank Transaction Statement and Digital Ledger at the scene."
2,100270169202400001,202400001,2024-04-09,370,169,1,1,11,60,6,130,2024-04-03 18:04:19,2024-04-03 22:05:19,2024-04-04 10:00:19,13.387435,74.713884,The event transpired at a general/public place around 18:00 hours on Wednesday. The suspects promised to help the senior citizen withdraw their PF money and ran away with their credentials. Key evidence collected includes CCTV Footage and Medical Examination Report.
3,400110077202200001,202200001,2022-11-19,1015,77,3,2,10,58,6,113,2022-11-16 18:30:32,2022-11-16 19:52:32,2022-11-17 05:08:32,12.868914,74.850745,A lone suspect was involved in carrying out this offense. The driver was caught driving an overloaded passenger vehicle with people hanging on the footboards. The incident took place in a transit-bus-stop at 18:00 hours on Wednesday. Investigators recovered CCTV Footage from the location.
4,100310193202300001,202300001,2023-10-22,2469,193,1,2,9,51,3,39,2023-10-21 17:41:21,2023-10-21 18:19:21,2023-10-21 20:58:21,15.243288,76.43758,"The suspect acted as a local courier, transporting illegal funding and secure communication devices to active members of an outlawed group. Evidence seized during the initial probe includes Digital Communication Record, Seized Document and Surveillance Report. The offense occurred near a general/public place around 17:00 hours on Saturday."
5,300100066202500001,202500001,2025-08-05,1483,66,2,1,10,55,5,5,2025-07-30 17:24:41,2025-07-31 00:14:41,2025-07-31 02:52:41,14.228462,76.437082,"Police later collected CCTV Footage, Mechanical Inspection Report and Vehicle Damage Report as part of the case file. An unidentified truck hit a cyclist from behind and sped away, leaving the cyclist severely injured. The incident was reported from a transit-bus-stop at 17:00 hours on Wednesday. A single individual executed the crime."
6,100110073202200001,202200001,2022-12-05,2447,73,1,2,3,18,4,97,2022-12-03 09:06:32,2022-12-03 15:45:32,2022-12-05 00:38:32,12.896923,74.903003,"The suspect repeatedly followed the victim to her college and made offensive gestures. The event transpired at a general/public place around 09:00 hours on Saturday. The crime was committed by a group of 2 co-offenders. Forensic search and examination revealed CCTV Footage, Call Detail Record, Clothing Sample, DNA Swab and Medical Examination Report at the scene."
7,100050032202600001,202600001,2026-09-02,1922,32,1,2,3,23,1,50,2026-08-28 14:15:28,2026-08-28 19:32:28,2026-08-28 21:53:28,12.930527,77.64539,The incident took place in a general/public place at 14:00 hours on Friday. The accused splashed a chemical substance on the victim's arm during a physical confrontation. A lone suspect was involved in carrying out this offense.
8,100110074202400001,202400001,2024-08-31,511,74,1,1,10,57,3,73,2024-08-24 00:08:55,2024-08-24 02:21:55,2024-08-24 04:50:55,12.865715,74.863406,"Investigation indicates the involvement of a single perpetrator. The offender observed the victim leaving the motorcycle unattended outside the gate, before unlocking it with a duplicate master key and escaping. The offense occurred near a market around 00:00 hours on Saturday. Investigators recovered Breath Analyzer Report, CCTV Footage and Mechanical Inspection Report from the location."
9,100030018202600001,202600001,2026-02-08,406,18,1,2,3,19,1,86,2026-02-01 01:59:01,2026-02-01 05:36:01,2026-02-01 11:17:01,15.893935,74.533455,"The victim committed suicide after being continuously harassed and tortured by her husband and in-laws for additional dowry. Evidence seized during the initial probe includes Call Detail Record, DNA Swab and Medical Examination Report. The incident was reported from a residential at 01:00 hours on Sunday."
10,100250156202500001,202500001,2025-02-23,1234,156,1,2,3,17,4,32,2025-02-14 22:57:05,2025-02-14 23:11:05,2025-02-15 15:23:05,13.91865,75.58587,Police later collected CCTV Footage and DNA Swab as part of the case file. The suspect forced himself upon the victim at her workplace and threatened her with termination if she spoke. The event transpired at a general/public place around 22:00 hours on Friday. The crime was committed by a group of 2 co-offenders.
